_id,COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE,COMMENT
731,Mariposa,2016,Total population,All ages,All ages,66,45.3,
732,Mendocino,2016,Total population,All ages,All ages,451,56.4,
733,Merced,2016,Total population,All ages,All ages,"2,211",79.2,
734,Modoc,2016,Total population,All ages,All ages,59,80.1,
735,Mono,2016,Total population,All ages,All ages,33,28.1,
736,Monterey,2016,Total population,All ages,All ages,"1,959",44.3,
737,Napa,2016,Total population,All ages,All ages,439,33.5,
738,Nevada,2016,Total population,All ages,All ages,267,33.6,
739,Orange,2016,Total population,All ages,All ages,"8,878",29.2,
740,Placer,2016,Total population,All ages,All ages,968,28.3,
741,Plumas,2016,Total population,All ages,All ages,99,61.4,
742,Riverside,2016,Total population,All ages,All ages,"9,596",41.5,
743,Sacramento,2016,Total population,All ages,All ages,"8,953",60.7,
744,San Benito,2016,Total population,All ages,All ages,268,48.7,
745,San Bernardino,2016,Total population,All ages,All ages,"11,335",51.9,
746,San Diego,2016,Total population,All ages,All ages,"10,068",30.9,
747,San Francisco,2016,Total population,All ages,All ages,"2,997",38.5,
748,San Joaquin,2016,Total population,All ages,All ages,"4,245",57.5,
749,San Luis Obispo,2016,Total population,All ages,All ages,926,38.1,
750,San Mateo,2016,Total population,All ages,All ages,"2,382",32.5,
751,Santa Barbara,2016,Total population,All ages,All ages,"1,641",37.7,
752,Santa Clara,2016,Total population,All ages,All ages,"5,534",29.1,
753,Santa Cruz,2016,Total population,All ages,All ages,864,34.4,
754,Shasta,2016,Total population,All ages,All ages,726,46.4,
755,Sierra,2016,Total population,All ages,All ages,8,,Rate not available due to statistical instability
756,Siskiyou,2016,Total population,All ages,All ages,128,33.7,
757,Solano,2016,Total population,All ages,All ages,"3,349",80.8,
758,Sonoma,2016,Total population,All ages,All ages,"1,682",36.6,
759,Stanislaus,2016,Total population,All ages,All ages,"2,763",51.3,
760,Sutter,2016,Total population,All ages,All ages,324,33.7,
761,Tehama,2016,Total population,All ages,All ages,335,55.9,
762,Trinity,2016,Total population,All ages,All ages,55,52.7,
763,Tulare,2016,Total population,All ages,All ages,"1,980",40.5,
764,Tuolumne,2016,Total population,All ages,All ages,224,46.9,
765,Ventura,2016,Total population,All ages,All ages,"2,619",32.4,
766,Yolo,2016,Total population,All ages,All ages,774,38.4,
767,Yuba,2016,Total population,All ages,All ages,297,39.2,
768,California,2016,Child vs. adult,0–17 years,0–17 years,"69,375",75.3,
769,Alameda,2016,Child vs. adult,0–17 years,0–17 years,"3,435",98.5,
770,Alpine,2016,Child vs. adult,0–17 years,0–17 years,0,0,
771,Amador,2016,Child vs. adult,0–17 years,0–17 years,56,100.4,
772,Butte,2016,Child vs. adult,0–17 years,0–17 years,226,49.9,
773,Calaveras,2016,Child vs. adult,0–17 years,0–17 years,40,53.8,
774,Colusa,2016,Child vs. adult,0–17 years,0–17 years,26,43.1,
775,Contra Costa,2016,Child vs. adult,0–17 years,0–17 years,"2,185",88.8,
776,Del Norte,2016,Child vs. adult,0–17 years,0–17 years,71,120.8,
777,El Dorado,2016,Child vs. adult,0–17 years,0–17 years,155,44.5,
778,Fresno,2016,Child vs. adult,0–17 years,0–17 years,"4,066",143.1,
779,Glenn,2016,Child vs. adult,0–17 years,0–17 years,38,50.6,
780,Humboldt,2016,Child vs. adult,0–17 years,0–17 years,160,57.7,
781,Imperial,2016,Child vs. adult,0–17 years,0–17 years,718,133,
782,Inyo,2016,Child vs. adult,0–17 years,0–17 years,39,96.8,
783,Kern,2016,Child vs. adult,0–17 years,0–17 years,"2,228",86.8,
784,Kings,2016,Child vs. adult,0–17 years,0–17 years,510,111,
785,Lake,2016,Child vs. adult,0–17 years,0–17 years,108,79.6,
786,Lassen,2016,Child vs. adult,0–17 years,0–17 years,32,60.7,
787,Los Angeles,2016,Child vs. adult,0–17 years,0–17 years,"20,462",88.5,
788,Madera,2016,Child vs. adult,0–17 years,0–17 years,595,140.3,
789,Marin,2016,Child vs. adult,0–17 years,0–17 years,166,33,
790,Mariposa,2016,Child vs. adult,0–17 years,0–17 years,22,77.6,
791,Mendocino,2016,Child vs. adult,0–17 years,0–17 years,128,66.7,
792,Merced,2016,Child vs. adult,0–17 years,0–17 years,"1,039",130.9,
793,Modoc,2016,Child vs. adult,0–17 years,0–17 years,19,114.2,
794,Mono,2016,Child vs. adult,0–17 years,0–17 years,14,49.4,
795,Monterey,2016,Child vs. adult,0–17 years,0–17 years,758,65.4,
796,Napa,2016,Child vs. adult,0–17 years,0–17 years,148,51.6,
797,Nevada,2016,Child vs. adult,0–17 years,0–17 years,60,37.4,
798,Orange,2016,Child vs. adult,0–17 years,0–17 years,"3,872",53.7,
799,Placer,2016,Child vs. adult,0–17 years,0–17 years,288,38.4,
800,Plumas,2016,Child vs. adult,0–17 years,0–17 years,22,70.4,
801,Riverside,2016,Child vs. adult,0–17 years,0–17 years,"3,951",66.5,
802,Sacramento,2016,Child vs. adult,0–17 years,0–17 years,"2,825",78.2,
803,San Benito,2016,Child vs. adult,0–17 years,0–17 years,120,83.2,
804,San Bernardino,2016,Child vs. adult,0–17 years,0–17 years,"4,679",81.2,
805,San Diego,2016,Child vs. adult,0–17 years,0–17 years,"4,085",51,
806,San Francisco,2016,Child vs. adult,0–17 years,0–17 years,930,67.7,
807,San Joaquin,2016,Child vs. adult,0–17 years,0–17 years,"1,587",80.1,
808,San Luis Obispo,2016,Child vs. adult,0–17 years,0–17 years,268,54.3,
809,San Mateo,2016,Child vs. adult,0–17 years,0–17 years,782,48.2,
810,Santa Barbara,2016,Child vs. adult,0–17 years,0–17 years,685,67.8,
811,Santa Clara,2016,Child vs. adult,0–17 years,0–17 years,"1,676",37.4,
812,Santa Cruz,2016,Child vs. adult,0–17 years,0–17 years,332,56,
813,Shasta,2016,Child vs. adult,0–17 years,0–17 years,255,68.5,
814,Sierra,2016,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
815,Siskiyou,2016,Child vs. adult,0–17 years,0–17 years,29,33.2,
816,Solano,2016,Child vs. adult,0–17 years,0–17 years,"1,079",108.9,
817,Sonoma,2016,Child vs. adult,0–17 years,0–17 years,535,55.1,
818,Stanislaus,2016,Child vs. adult,0–17 years,0–17 years,"1,062",73.3,
819,Sutter,2016,Child vs. adult,0–17 years,0–17 years,126,50.7,
820,Tehama,2016,Child vs. adult,0–17 years,0–17 years,112,72.6,
821,Trinity,2016,Child vs. adult,0–17 years,0–17 years,12,56.9,
822,Tulare,2016,Child vs. adult,0–17 years,0–17 years,960,66.4,
823,Tuolumne,2016,Child vs. adult,0–17 years,0–17 years,52,59.3,
824,Ventura,2016,Child vs. adult,0–17 years,0–17 years,"1,164",58.8,
825,Yolo,2016,Child vs. adult,0–17 years,0–17 years,287,59.4,
826,Yuba,2016,Child vs. adult,0–17 years,0–17 years,95,43.7,
827,California,2016,Child vs. adult,18+ years,18+ years,"105,358",35.5,
828,Alameda,2016,Child vs. adult,18+ years,18+ years,"5,651",43.7,
829,Alpine,2016,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
830,Amador,2016,Child vs. adult,18+ years,18+ years,131,48.4,
831,Butte,2016,Child vs. adult,18+ years,18+ years,544,34,
832,Calaveras,2016,Child vs. adult,18+ years,18+ years,131,42.3,
833,Colusa,2016,Child vs. adult,18+ years,18+ years,41,25,
834,Contra Costa,2016,Child vs. adult,18+ years,18+ years,"3,836",45.7,
835,Del Norte,2016,Child vs. adult,18+ years,18+ years,101,53.9,
836,El Dorado,2016,Child vs. adult,18+ years,18+ years,409,32.4,
837,Fresno,2016,Child vs. adult,18+ years,18+ years,"2,864",41.1,
838,Glenn,2016,Child vs. adult,18+ years,18+ years,65,31.3,
839,Humboldt,2016,Child vs. adult,18+ years,18+ years,655,66.8,
840,Imperial,2016,Child vs. adult,18+ years,18+ years,569,43.1,
841,Inyo,2016,Child vs. adult,18+ years,18+ years,51,38.8,
842,Kern,2016,Child vs. adult,18+ years,18+ years,"2,780",43.3,
843,Kings,2016,Child vs. adult,18+ years,18+ years,517,49,
844,Lake,2016,Child vs. adult,18+ years,18+ years,379,79.4,
845,Lassen,2016,Child vs. adult,18+ years,18+ years,86,33.8,
846,Los Angeles,2016,Child vs. adult,18+ years,18+ years,"30,316",38.6,
847,Madera,2016,Child vs. adult,18+ years,18+ years,361,32.3,
848,Marin,2016,Child vs. adult,18+ years,18+ years,377,19.7,
849,Mariposa,2016,Child vs. adult,18+ years,18+ years,44,34.1,
850,Mendocino,2016,Child vs. adult,18+ years,18+ years,323,52.8,
851,Merced,2016,Child vs. adult,18+ years,18+ years,"1,172",61.2,
852,Modoc,2016,Child vs. adult,18+ years,18+ years,40,68.2,
853,Mono,2016,Child vs. adult,18+ years,18+ years,19,20.8,
854,Monterey,2016,Child vs. adult,18+ years,18+ years,"1,201",37,
855,Napa,2016,Child vs. adult,18+ years,18+ years,291,27.2,
856,Nevada,2016,Child vs. adult,18+ years,18+ years,207,32.3,
857,Orange,2016,Child vs. adult,18+ years,18+ years,"5,006",20.7,
858,Placer,2016,Child vs. adult,18+ years,18+ years,680,24.8,
859,Plumas,2016,Child vs. adult,18+ years,18+ years,77,58.3,
860,Riverside,2016,Child vs. adult,18+ years,18+ years,"5,645",32.7,
861,Sacramento,2016,Child vs. adult,18+ years,18+ years,"6,128",54.7,
862,San Benito,2016,Child vs. adult,18+ years,18+ years,148,36.8,
863,San Bernardino,2016,Child vs. adult,18+ years,18+ years,"6,656",41.8,
864,San Diego,2016,Child vs. adult,18+ years,18+ years,"5,983",24,
865,San Francisco,2016,Child vs. adult,18+ years,18+ years,"2,067",28.4,
866,San Joaquin,2016,Child vs. adult,18+ years,18+ years,"2,658",49.6,
867,San Luis Obispo,2016,Child vs. adult,18+ years,18+ years,658,32.4,
868,San Mateo,2016,Child vs. adult,18+ years,18+ years,"1,600",27,
869,Santa Barbara,2016,Child vs. adult,18+ years,18+ years,956,27.3,
870,Santa Clara,2016,Child vs. adult,18+ years,18+ years,"3,858",26.1,
871,Santa Cruz,2016,Child vs. adult,18+ years,18+ years,532,26.9,
872,Shasta,2016,Child vs. adult,18+ years,18+ years,471,38.7,
873,Sierra,2016,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
874,Siskiyou,2016,Child vs. adult,18+ years,18+ years,99,33.9,
875,Solano,2016,Child vs. adult,18+ years,18+ years,"2,270",71,
876,Sonoma,2016,Child vs. adult,18+ years,18+ years,"1,147",30.2,
877,Stanislaus,2016,Child vs. adult,18+ years,18+ years,"1,701",43.6,
878,Sutter,2016,Child vs. adult,18+ years,18+ years,198,27.8,
879,Tehama,2016,Child vs. adult,18+ years,18+ years,223,50.2,
880,Trinity,2016,Child vs. adult,18+ years,18+ years,43,51.2,
881,Tulare,2016,Child vs. adult,18+ years,18+ years,"1,020",31.6,
882,Tuolumne,2016,Child vs. adult,18+ years,18+ years,172,42.6,
883,Ventura,2016,Child vs. adult,18+ years,18+ years,"1,455",23.2,
884,Yolo,2016,Child vs. adult,18+ years,18+ years,487,31.1,
885,Yuba,2016,Child vs. adult,18+ years,18+ years,202,37.7,
886,California,2016,Age groups,0–4 years,0–4 years,"23,613",94.8,
887,Alameda,2016,Age groups,0–4 years,0–4 years,"1,329",137.4,
888,Alpine,2016,Age groups,0–4 years,0–4 years,0,0,
889,Amador,2016,Age groups,0–4 years,0–4 years,13,94,
890,Butte,2016,Age groups,0–4 years,0–4 years,60,49.4,
891,Calaveras,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
892,Colusa,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
893,Contra Costa,2016,Age groups,0–4 years,0–4 years,740,118.7,
894,Del Norte,2016,Age groups,0–4 years,0–4 years,19,119.9,
895,El Dorado,2016,Age groups,0–4 years,0–4 years,42,53.8,
896,Fresno,2016,Age groups,0–4 years,0–4 years,"1,621",206.3,
897,Glenn,2016,Age groups,0–4 years,0–4 years,13,66.7,
898,Humboldt,2016,Age groups,0–4 years,0–4 years,57,76.2,
899,Imperial,2016,Age groups,0–4 years,0–4 years,177,105.6,
900,Inyo,2016,Age groups,0–4 years,0–4 years,20,168.4,
901,Kern,2016,Age groups,0–4 years,0–4 years,704,100.4,
902,Kings,2016,Age groups,0–4 years,0–4 years,187,157,
903,Lake,2016,Age groups,0–4 years,0–4 years,37,98.5,
904,Lassen,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
905,Los Angeles,2016,Age groups,0–4 years,0–4 years,"6,606",103.7,
906,Madera,2016,Age groups,0–4 years,0–4 years,224,196.7,
907,Marin,2016,Age groups,0–4 years,0–4 years,55,46.6,
908,Mariposa,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
909,Mendocino,2016,Age groups,0–4 years,0–4 years,44,83.9,
910,Merced,2016,Age groups,0–4 years,0–4 years,330,157.8,
911,Modoc,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
912,Mono,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
913,Monterey,2016,Age groups,0–4 years,0–4 years,251,78.3,
914,Napa,2016,Age groups,0–4 years,0–4 years,50,68.1,
915,Nevada,2016,Age groups,0–4 years,0–4 years,18,44.6,
916,Orange,2016,Age groups,0–4 years,0–4 years,"1,451",75.9,
917,Placer,2016,Age groups,0–4 years,0–4 years,98,53.1,
918,Plumas,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
919,Riverside,2016,Age groups,0–4 years,0–4 years,"1,137",74.5,
920,Sacramento,2016,Age groups,0–4 years,0–4 years,974,99.6,
921,San Benito,2016,Age groups,0–4 years,0–4 years,26,71.3,
922,San Bernardino,2016,Age groups,0–4 years,0–4 years,"1,424",93.7,
923,San Diego,2016,Age groups,0–4 years,0–4 years,"1,677",75,
924,San Francisco,2016,Age groups,0–4 years,0–4 years,482,110.9,
925,San Joaquin,2016,Age groups,0–4 years,0–4 years,504,98.8,
926,San Luis Obispo,2016,Age groups,0–4 years,0–4 years,81,62,
927,San Mateo,2016,Age groups,0–4 years,0–4 years,335,77.9,
928,Santa Barbara,2016,Age groups,0–4 years,0–4 years,215,74.7,
929,Santa Clara,2016,Age groups,0–4 years,0–4 years,582,47.6,
930,Santa Cruz,2016,Age groups,0–4 years,0–4 years,115,71.7,
931,Shasta,2016,Age groups,0–4 years,0–4 years,86,86.9,
932,Sierra,2016,Age groups,0–4 years,0–4 years,0,0,
933,Siskiyou,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
934,Solano,2016,Age groups,0–4 years,0–4 years,321,123.1,
935,Sonoma,2016,Age groups,0–4 years,0–4 years,173,68.8,
936,Stanislaus,2016,Age groups,0–4 years,0–4 years,306,79.9,
937,Sutter,2016,Age groups,0–4 years,0–4 years,44,68,
938,Tehama,2016,Age groups,0–4 years,0–4 years,30,69.1,
939,Trinity,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
940,Tulare,2016,Age groups,0–4 years,0–4 years,354,92.7,
941,Tuolumne,2016,Age groups,0–4 years,0–4 years,16,69.9,
942,Ventura,2016,Age groups,0–4 years,0–4 years,397,76.6,
943,Yolo,2016,Age groups,0–4 years,0–4 years,99,78.9,
944,Yuba,2016,Age groups,0–4 years,0–4 years,37,62,
945,California,2016,Age groups,5–17 years,5–17 years,"45,762",68.1,
946,Alameda,2016,Age groups,5–17 years,5–17 years,"2,106",84.2,
947,Alpine,2016,Age groups,5–17 years,5–17 years,0,0,
948,Amador,2016,Age groups,5–17 years,5–17 years,43,102.8,
949,Butte,2016,Age groups,5–17 years,5–17 years,166,50.1,
950,Calaveras,2016,Age groups,5–17 years,5–17 years,35,63,
951,Colusa,2016,Age groups,5–17 years,5–17 years,19,41.6,
952,Contra Costa,2016,Age groups,5–17 years,5–17 years,"1,445",77.8,
953,Del Norte,2016,Age groups,5–17 years,5–17 years,52,121.1,
954,El Dorado,2016,Age groups,5–17 years,5–17 years,113,41.1,
955,Fresno,2016,Age groups,5–17 years,5–17 years,"2,445",120,
956,Glenn,2016,Age groups,5–17 years,5–17 years,25,44.6,
957,Humboldt,2016,Age groups,5–17 years,5–17 years,103,51,
958,Imperial,2016,Age groups,5–17 years,5–17 years,541,143,
959,Inyo,2016,Age groups,5–17 years,5–17 years,19,70.6,
960,Kern,2016,Age groups,5–17 years,5–17 years,"1,524",81.9,
961,Kings,2016,Age groups,5–17 years,5–17 years,323,94.2,
962,Lake,2016,Age groups,5–17 years,5–17 years,71,72.7,
963,Lassen,2016,Age groups,5–17 years,5–17 years,26,68.3,
964,Los Angeles,2016,Age groups,5–17 years,5–17 years,"13,856",83,
965,Madera,2016,Age groups,5–17 years,5–17 years,371,119.7,
966,Marin,2016,Age groups,5–17 years,5–17 years,111,28,
967,Mariposa,2016,Age groups,5–17 years,5–17 years,16,77.7,
968,Mendocino,2016,Age groups,5–17 years,5–17 years,84,60.4,
969,Merced,2016,Age groups,5–17 years,5–17 years,709,121,
970,Modoc,2016,Age groups,5–17 years,5–17 years,11,,Rate not available due to statistical instability
971,Mono,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
972,Monterey,2016,Age groups,5–17 years,5–17 years,507,60.6,
973,Napa,2016,Age groups,5–17 years,5–17 years,98,45.5,
974,Nevada,2016,Age groups,5–17 years,5–17 years,42,34.8,
975,Orange,2016,Age groups,5–17 years,5–17 years,"2,421",45.6,
976,Placer,2016,Age groups,5–17 years,5–17 years,190,33,
977,Plumas,2016,Age groups,5–17 years,5–17 years,18,77,
978,Riverside,2016,Age groups,5–17 years,5–17 years,"2,814",63.6,
979,Sacramento,2016,Age groups,5–17 years,5–17 years,"1,851",70.3,
980,San Benito,2016,Age groups,5–17 years,5–17 years,94,87.5,
981,San Bernardino,2016,Age groups,5–17 years,5–17 years,"3,255",76.6,
982,San Diego,2016,Age groups,5–17 years,5–17 years,"2,408",42.2,
983,San Francisco,2016,Age groups,5–17 years,5–17 years,448,51.9,
984,San Joaquin,2016,Age groups,5–17 years,5–17 years,"1,083",73.3,
985,San Luis Obispo,2016,Age groups,5–17 years,5–17 years,187,51.4,
986,San Mateo,2016,Age groups,5–17 years,5–17 years,447,37.4,
987,Santa Barbara,2016,Age groups,5–17 years,5–17 years,470,65.3,
988,Santa Clara,2016,Age groups,5–17 years,5–17 years,"1,094",33.7,
989,Santa Cruz,2016,Age groups,5–17 years,5–17 years,217,50.2,
990,Shasta,2016,Age groups,5–17 years,5–17 years,169,61.8,
991,Sierra,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
992,Siskiyou,2016,Age groups,5–17 years,5–17 years,20,31.2,
993,Solano,2016,Age groups,5–17 years,5–17 years,758,103.7,
994,Sonoma,2016,Age groups,5–17 years,5–17 years,362,50,
995,Stanislaus,2016,Age groups,5–17 years,5–17 years,756,70.9,
996,Sutter,2016,Age groups,5–17 years,5–17 years,82,44.3,
997,Tehama,2016,Age groups,5–17 years,5–17 years,82,73.9,
998,Trinity,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
999,Tulare,2016,Age groups,5–17 years,5–17 years,606,56.7,
1000,Tuolumne,2016,Age groups,5–17 years,5–17 years,36,55.4,
1001,Ventura,2016,Age groups,5–17 years,5–17 years,767,52.3,
1002,Yolo,2016,Age groups,5–17 years,5–17 years,188,52.3,
1003,Yuba,2016,Age groups,5–17 years,5–17 years,58,36.9,
1004,California,2016,Age groups,18–64 years,18–64 years,"93,650",38.4,
1005,Alameda,2016,Age groups,18–64 years,18–64 years,"4,887",45.6,
1006,Alpine,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
1007,Amador,2016,Age groups,18–64 years,18–64 years,113,54.3,
1008,Butte,2016,Age groups,18–64 years,18–64 years,496,38.7,
1009,Calaveras,2016,Age groups,18–64 years,18–64 years,111,47.9,
1010,Colusa,2016,Age groups,18–64 years,18–64 years,36,27.5,
1011,Contra Costa,2016,Age groups,18–64 years,18–64 years,"3,390",49.8,
1012,Del Norte,2016,Age groups,18–64 years,18–64 years,94,62,
1013,El Dorado,2016,Age groups,18–64 years,18–64 years,367,36.7,
1014,Fresno,2016,Age groups,18–64 years,18–64 years,"2,544",43.7,
1015,Glenn,2016,Age groups,18–64 years,18–64 years,55,33.1,
1016,Humboldt,2016,Age groups,18–64 years,18–64 years,615,77.2,
1017,Imperial,2016,Age groups,18–64 years,18–64 years,485,44.1,
1018,Inyo,2016,Age groups,18–64 years,18–64 years,45,43.7,
1019,Kern,2016,Age groups,18–64 years,18–64 years,"2,575",47.8,
1020,Kings,2016,Age groups,18–64 years,18–64 years,474,53.2,
1021,Lake,2016,Age groups,18–64 years,18–64 years,333,89.1,
1022,Lassen,2016,Age groups,18–64 years,18–64 years,78,37,
1023,Los Angeles,2016,Age groups,18–64 years,18–64 years,"27,003",41.5,
1024,Madera,2016,Age groups,18–64 years,18–64 years,312,34.3,
1025,Marin,2016,Age groups,18–64 years,18–64 years,310,21.1,
1026,Mariposa,2016,Age groups,18–64 years,18–64 years,30,34.9,
1027,Mendocino,2016,Age groups,18–64 years,18–64 years,288,59.9,
1028,Merced,2016,Age groups,18–64 years,18–64 years,"1,085",67.8,
1029,Modoc,2016,Age groups,18–64 years,18–64 years,38,80.6,
1030,Mono,2016,Age groups,18–64 years,18–64 years,19,25,
1031,Monterey,2016,Age groups,18–64 years,18–64 years,"1,081",40.3,
1032,Napa,2016,Age groups,18–64 years,18–64 years,223,27.1,
1033,Nevada,2016,Age groups,18–64 years,18–64 years,181,36.8,
1034,Orange,2016,Age groups,18–64 years,18–64 years,"4,304",21.7,
1035,Placer,2016,Age groups,18–64 years,18–64 years,575,26.9,
1036,Plumas,2016,Age groups,18–64 years,18–64 years,62,64.8,
1037,Riverside,2016,Age groups,18–64 years,18–64 years,"5,082",36,
1038,Sacramento,2016,Age groups,18–64 years,18–64 years,"5,637",60.8,
1039,San Benito,2016,Age groups,18–64 years,18–64 years,126,38.1,
1040,San Bernardino,2016,Age groups,18–64 years,18–64 years,"6,109",45.7,
1041,San Diego,2016,Age groups,18–64 years,18–64 years,"5,286",25.7,
1042,San Francisco,2016,Age groups,18–64 years,18–64 years,"1,771",29.9,
1043,San Joaquin,2016,Age groups,18–64 years,18–64 years,"2,446",55.2,
1044,San Luis Obispo,2016,Age groups,18–64 years,18–64 years,559,35.5,
1045,San Mateo,2016,Age groups,18–64 years,18–64 years,"1,291",27.5,
1046,Santa Barbara,2016,Age groups,18–64 years,18–64 years,803,28.1,
1047,Santa Clara,2016,Age groups,18–64 years,18–64 years,"3,356",27.6,
1048,Santa Cruz,2016,Age groups,18–64 years,18–64 years,467,28.8,
1049,Shasta,2016,Age groups,18–64 years,18–64 years,435,44.6,
1050,Sierra,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
1051,Siskiyou,2016,Age groups,18–64 years,18–64 years,85,38.2,
1052,Solano,2016,Age groups,18–64 years,18–64 years,"2,032",78,
1053,Sonoma,2016,Age groups,18–64 years,18–64 years,986,32.7,
1054,Stanislaus,2016,Age groups,18–64 years,18–64 years,"1,546",47.9,
1055,Sutter,2016,Age groups,18–64 years,18–64 years,177,30.4,
1056,Tehama,2016,Age groups,18–64 years,18–64 years,200,56.6,
1057,Trinity,2016,Age groups,18–64 years,18–64 years,40,60.1,
1058,Tulare,2016,Age groups,18–64 years,18–64 years,925,34.3,
1059,Tuolumne,2016,Age groups,18–64 years,18–64 years,139,46.6,
1060,Ventura,2016,Age groups,18–64 years,18–64 years,"1,277",24.9,
1061,Yolo,2016,Age groups,18–64 years,18–64 years,435,33.3,
1062,Yuba,2016,Age groups,18–64 years,18–64 years,179,39.8,
1063,California,2016,Age groups,65+ years,65+ years,"11,708",21.4,
1064,Alameda,2016,Age groups,65+ years,65+ years,764,34.3,
1065,Alpine,2016,Age groups,65+ years,65+ years,0,0,
1066,Amador,2016,Age groups,65+ years,65+ years,18,19.6,
1067,Butte,2016,Age groups,65+ years,65+ years,48,11.2,
1068,Calaveras,2016,Age groups,65+ years,65+ years,20,15.2,
1069,Colusa,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
1070,Contra Costa,2016,Age groups,65+ years,65+ years,446,25.5,
1071,Del Norte,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
1072,El Dorado,2016,Age groups,65+ years,65+ years,42,11.5,
1073,Fresno,2016,Age groups,65+ years,65+ years,320,28.4,
1074,Glenn,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
1075,Humboldt,2016,Age groups,65+ years,65+ years,40,16.4,
1076,Imperial,2016,Age groups,65+ years,65+ years,84,38.3,
1077,Inyo,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
1078,Kern,2016,Age groups,65+ years,65+ years,205,21.2,
1079,Kings,2016,Age groups,65+ years,65+ years,43,28.7,
1080,Lake,2016,Age groups,65+ years,65+ years,46,32.2,
1081,Lassen,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
1082,Los Angeles,2016,Age groups,65+ years,65+ years,"3,313",24.4,
1083,Madera,2016,Age groups,65+ years,65+ years,49,22.7,
1084,Marin,2016,Age groups,65+ years,65+ years,67,12.6,
1085,Mariposa,2016,Age groups,65+ years,65+ years,14,29.8,
1086,Mendocino,2016,Age groups,65+ years,65+ years,35,18.5,
1087,Merced,2016,Age groups,65+ years,65+ years,87,29.1,
1088,Modoc,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
1089,Mono,2016,Age groups,65+ years,65+ years,0,0,
1090,Monterey,2016,Age groups,65+ years,65+ years,120,20.7,
1091,Napa,2016,Age groups,65+ years,65+ years,68,27.5,
1092,Nevada,2016,Age groups,65+ years,65+ years,26,10.2,
1093,Orange,2016,Age groups,65+ years,65+ years,702,15.7,
1094,Placer,2016,Age groups,65+ years,65+ years,105,14.6,
1095,Plumas,2016,Age groups,65+ years,65+ years,15,26.2,
1096,Riverside,2016,Age groups,65+ years,65+ years,563,16.8,
1097,Sacramento,2016,Age groups,65+ years,65+ years,491,24.9,
1098,San Benito,2016,Age groups,65+ years,65+ years,22,30.2,
1099,San Bernardino,2016,Age groups,65+ years,65+ years,547,22.8,
1100,San Diego,2016,Age groups,65+ years,65+ years,697,15.3,
1101,San Francisco,2016,Age groups,65+ years,65+ years,296,21.2,
1102,San Joaquin,2016,Age groups,65+ years,65+ years,212,22.8,
1103,San Luis Obispo,2016,Age groups,65+ years,65+ years,99,17.7,
1104,San Mateo,2016,Age groups,65+ years,65+ years,309,24.6,
1105,Santa Barbara,2016,Age groups,65+ years,65+ years,153,23,
1106,Santa Clara,2016,Age groups,65+ years,65+ years,502,19.2,
1107,Santa Cruz,2016,Age groups,65+ years,65+ years,65,17.4,
1108,Shasta,2016,Age groups,65+ years,65+ years,36,9.9,
1109,Sierra,2016,Age groups,65+ years,65+ years,0,0,
1110,Siskiyou,2016,Age groups,65+ years,65+ years,14,12.9,
1111,Solano,2016,Age groups,65+ years,65+ years,238,36.8,
1112,Sonoma,2016,Age groups,65+ years,65+ years,161,17.9,
1113,Stanislaus,2016,Age groups,65+ years,65+ years,155,22.6,
